ID,Seq,Name,Attribute,ParentID,UUID,rb_data_status,rb_local_data_status,rb_local_deleted,rb_local_synced,usn,rb_local_usn,created_at,updated_at
1900552389,19,Vocal Break,0,2,5fe7850b-1fe9-4fc7-ad90-d6ee99bd1560,0,0,0,1,,945819,2025-04-24 16:22:23.943 +00:00,2025-05-23 00:45:49.708 +00:00
2024795200,20,Long Breaks,0,2,9d21b00c-df8d-4d23-8459-5fc368a36df6,0,0,0,1,,945819,2025-04-24 16:59:29.560 +00:00,2025-05-23 00:45:49.708 +00:00
2288653605,21,No Beat Intro,0,2,91696582-f7e3-4017-97df-f9eea902e7b5,0,0,0,1,,945819,2025-04-24 17:01:42.419 +00:00,2025-05-23 00:45:49.708 +00:00
404876600,22,Amen Break,0,2,af1a70a8-374b-424a-9f11-7a37f5e3ed85,0,0,0,1,,945819,2025-04-24 17:11:43.749 +00:00,2025-05-23 00:45:49.709 +00:00
1884403203,23,Boom Bass,0,2,641c8ab7-9999-4eff-b699-bb3db8b0b3e7,0,0,0,1,,945819,2025-04-24 17:12:09.592 +00:00,2025-05-23 00:45:49.709 +00:00
1615309983,24,Donk Bass,0,2,698d0dab-8442-42cd-b804-d964f9f04010,0,0,0,1,,945819,2025-04-24 17:13:36.397 +00:00,2025-05-23 00:45:49.709 +00:00
3840163254,12,Hardbass,0,1,3d4b6750-883e-4735-97eb-c61d89e5e999,0,0,0,1,,933711,2025-04-24 17:13:56.558 +00:00,2025-04-24 17:13:59.013 +00:00
4072191999,25,Hoover,0,2,641a418d-8722-4cfb-a1d9-9cb341389c71,0,0,0,1,,945819,2025-04-24 17:14:25.695 +00:00,2025-05-23 00:45:49.710 +00:00
1613001175,13,Future House,0,1,1cd25db6-3ca8-48f6-a950-8c434af6feb6,0,0,0,1,,933948,2025-04-24 17:49:46.552 +00:00,2025-04-24 17:49:49.732 +00:00
3344913766,9,Aggresive,0,4,55b15e21-b778-4ba5-8770-1aa2a4e9e47b,0,0,0,1,,933961,2025-04-24 18:06:01.606 +00:00,2025-04-24 18:06:05.732 +00:00
1897780449,14,Gabber,0,1,5038fbb3-4aff-4a2d-ae80-eada8a52da4a,0,0,0,1,,934595,2025-04-26 02:27:13.537 +00:00,2025-04-26 02:27:24.439 +00:00
570214395,26,Halftime Beat,0,2,2c064400-570c-4825-a8d5-5339eed40ba9,0,0,0,1,,945819,2025-04-26 02:34:29.528 +00:00,2025-05-23 00:45:49.710 +00:00
313239640,27,Organ,0,2,03ef0fb2-181b-4f79-8d9a-58dd3c3e5c77,0,0,0,1,,945819,2025-04-26 22:39:29.795 +00:00,2025-05-23 00:45:49.710 +00:00
3540315218,10,Jazzy,0,4,813230a5-eddd-4463-ac78-0e8f0b4671e8,0,0,0,1,,935069,2025-04-26 22:39:37.042 +00:00,2025-04-26 22:39:40.678 +00:00
1123893985,15,Instrumental Hip Hop,0,1,b92cf94b-2f92-415c-ac15-6b5374154eff,0,0,0,1,,935087,2025-04-26 22:41:12.812 +00:00,2025-04-26 22:41:17.998 +00:00
556888989,11,Lo-Fi,0,4,22f8ab64-0029-4ce3-91db-2097a38620b4,0,0,0,1,,935090,2025-04-26 22:41:47.984 +00:00,2025-04-26 22:41:50.953 +00:00
2326826735,12,Break,0,3,d7686755-4c61-4fca-8052-cc40c01308d7,0,0,0,1,,935094,2025-04-26 22:42:13.343 +00:00,2025-04-26 22:42:16.596 +00:00
2657410041,28,Piano Break,0,2,dd572ea3-4a40-4822-9199-00b08b16e610,0,0,0,1,,945819,2025-04-26 23:06:55.535 +00:00,2025-05-23 00:45:49.710 +00:00
783654412,13,Intro,0,3,f05093d9-a746-49b9-b968-908fd6499f1d,0,0,0,1,,945829,2025-04-28 23:42:56.595 +00:00,2025-05-23 00:51:41.460 +00:00
1580980675,16,Dubstep,0,1,b5c67f77-6a8a-404e-80ec-71ddd07b314e,0,0,0,1,,938970,2025-05-03 22:41:22.263 +00:00,2025-05-03 22:41:34.918 +00:00
1069281325,17,Brostep,0,1,bc29f858-2e3e-4b26-af94-b0db3cc66184,0,0,0,1,,938973,2025-05-03 22:41:36.369 +00:00,2025-05-03 22:41:40.359 +00:00
2260419039,29,Wobble Bass,0,2,e8877e76-e0b6-44c9-b5f2-f521805edfef,0,0,0,1,,945819,2025-05-03 22:42:19.927 +00:00,2025-05-23 00:45:49.711 +00:00
4045350693,14,Genre Change,0,3,6cdabff9-c4d2-4609-936d-81ff24309b1c,0,0,0,1,,939216,2025-05-03 22:54:15.243 +00:00,2025-05-03 22:59:08.751 +00:00
3448746998,18,Hip Hop,0,1,d891440c-7b87-4c13-a016-31fba4433333,0,0,0,1,,939154,2025-05-03 22:55:51.325 +00:00,2025-05-03 22:55:54.202 +00:00
3853768100,19,Drum and Bass,0,1,c9ba417d-110e-4961-8eb8-ff960f3608e8,0,0,0,1,,939193,2025-05-03 22:56:23.880 +00:00,2025-05-03 22:56:35.906 +00:00
2531351181,30,Rap,0,2,f5bed924-1373-4220-86b1-17be625dc4e9,0,0,0,1,,945819,2025-05-03 22:57:11.394 +00:00,2025-05-23 00:45:49.711 +00:00
3349099584,31,Hi Hat,0,2,1bc46307-d249-49bf-bf86-9e10c68090e0,0,0,0,1,,945819,2025-05-03 22:57:50.372 +00:00,2025-05-23 00:45:49.711 +00:00
893912031,20,Neurofunk,0,1,da57b989-bd4d-43a0-9ef3-b9f5727a7e15,0,0,0,1,,939208,2025-05-03 22:58:22.452 +00:00,2025-05-03 22:58:25.093 +00:00
1702808101,12,Pop,0,4,8e02ebdf-b221-4c82-9b72-5baa7940016d,0,0,0,1,,939379,2025-05-03 23:39:12.782 +00:00,2025-05-03 23:39:15.776 +00:00
